Frame:1 FPS:13.6338 iou:0.996418
Frame:2 FPS:9.7911 iou:0.982919
Frame:3 FPS:12.5355 iou:0.975431
Frame:4 FPS:13.1222 iou:0.974671
Frame:5 FPS:14.2439 iou:0.981155
Frame:6 FPS:14.3918 iou:0.963351
Frame:7 FPS:13.8389 iou:0.953952
Frame:8 FPS:13.9191 iou:0.941974
Frame:9 FPS:14.0949 iou:0.956436
Frame:10 FPS:14.8478 iou:0.947495
Frame:11 FPS:14.0281 iou:0.943435
Frame:12 FPS:14.3778 iou:0.933794
Frame:13 FPS:14.5201 iou:0.941551
Frame:14 FPS:14.2859 iou:0.939975
Frame:15 FPS:13.5325 iou:0.897361
Frame:16 FPS:14.5807 iou:0.933614
Frame:17 FPS:14.3695 iou:0.952162
Frame:18 FPS:14.5708 iou:0.947032
Frame:19 FPS:14.7301 iou:0.938919
Frame:20 FPS:14.0135 iou:0.930903
Frame:21 FPS:14.1239 iou:0.924251
Frame:22 FPS:14.4277 iou:0.933562
Frame:23 FPS:14.3304 iou:0.932114
Frame:24 FPS:14.646 iou:0.947197
Frame:25 FPS:14.8045 iou:0.929547
Frame:26 FPS:14.4822 iou:0.916214
Frame:27 FPS:14.5183 iou:0.896143
Frame:28 FPS:14.8436 iou:0.899472
Frame:29 FPS:13.8811 iou:0.901731
Frame:30 FPS:14.4339 iou:0.892522
Frame:31 FPS:14.9071 iou:0.892522
Frame:32 FPS:14.2657 iou:0.892522
Frame:33 FPS:14.6013 iou:0.89207
Frame:34 FPS:14.8833 iou:0.889409
Frame:35 FPS:14.2992 iou:0.885523
Frame:36 FPS:14.4032 iou:0.888514
Frame:37 FPS:14.7941 iou:0.908305
Frame:38 FPS:14.9237 iou:0.884926
Frame:39 FPS:14.6733 iou:0.902511
Frame:40 FPS:15.4265 iou:0.885458
Frame:41 FPS:15.1374 iou:0.870911
Frame:42 FPS:15.1638 iou:0.848021
Frame:43 FPS:15.2161 iou:0.851179
Frame:44 FPS:15.227 iou:0.851852
Frame:45 FPS:14.8624 iou:0.852487
Frame:46 FPS:14.8765 iou:0.846004
Frame:47 FPS:15.485 iou:0.864084
Frame:48 FPS:15.2191 iou:0.861481
Frame:49 FPS:15.9293 iou:0.859531
Frame:50 FPS:15.5579 iou:0.859535
Frame:51 FPS:15.3566 iou:0.854372
Frame:52 FPS:15.213 iou:0.844336
Frame:53 FPS:15.4095 iou:0.836818
Frame:54 FPS:15.5524 iou:0.822971
Frame:55 FPS:12.8795 iou:0.808648
Frame:56 FPS:14.6213 iou:0.800192
Frame:57 FPS:15.3202 iou:0.788799
Frame:58 FPS:16.1289 iou:0.786254
Frame:59 FPS:15.5864 iou:0.784697
Frame:60 FPS:15.4308 iou:0.782754
Frame:61 FPS:15.9049 iou:0.788624
Frame:62 FPS:15.5282 iou:0.806172
Frame:63 FPS:15.8399 iou:0.810535
Frame:64 FPS:16.2002 iou:0.810535
Frame:65 FPS:15.8452 iou:0.809791
Frame:66 FPS:15.9396 iou:0.804518
Frame:67 FPS:15.9577 iou:0.789007
Frame:68 FPS:15.8774 iou:0.780244
Frame:69 FPS:16.236 iou:0.76714
Frame:70 FPS:17.0467 iou:0.763021
Frame:71 FPS:15.9668 iou:0.781302
Frame:72 FPS:16.0138 iou:0.77588
Frame:73 FPS:16.9764 iou:0.763286
Frame:74 FPS:15.8904 iou:0.763021
Frame:75 FPS:16.2962 iou:0.750295
Frame:76 FPS:16.8703 iou:0.74622
Frame:77 FPS:16.0558 iou:0.722793
Frame:78 FPS:15.9233 iou:0.742444
Frame:79 FPS:17.0323 iou:0.743592
Frame:80 FPS:16.1273 iou:0.74376
Frame:81 FPS:16.2409 iou:0.738271
Frame:82 FPS:17.1939 iou:0.738271
Frame:83 FPS:16.1184 iou:0.738271
Frame:84 FPS:16.8597 iou:0.753529
Frame:85 FPS:17.6625 iou:0.735692
Frame:86 FPS:15.9617 iou:0.726189
Frame:87 FPS:16.4771 iou:0.710646
Frame:88 FPS:17.0231 iou:0.706596
Frame:89 FPS:16.096 iou:0.693841
Frame:90 FPS:16.3143 iou:0.682569
Frame:91 FPS:17.4288 iou:0.727872
Frame:92 FPS:16.8034 iou:0.751321
Frame:93 FPS:17.4457 iou:0.774957
Frame:94 FPS:17.0364 iou:0.78435
Frame:95 FPS:16.333 iou:0.786323
Frame:96 FPS:15.8642 iou:0.793788
Frame:97 FPS:17.5765 iou:0.794511
Frame:98 FPS:16.4295 iou:0.796209
Frame:99 FPS:16.6458 iou:0.812991
Frame:100 FPS:17.3252 iou:0.807515
Frame:101 FPS:15.5603 iou:0.801861
Frame:102 FPS:15.672 iou:0.785052
Frame:103 FPS:16.5955 iou:0.785052
Frame:104 FPS:15.7305 iou:0.784821
Frame:105 FPS:15.7195 iou:0.779356
Frame:106 FPS:16.9864 iou:0.777221
Frame:107 FPS:15.5872 iou:0.764456
Frame:108 FPS:16.045 iou:0.781266
Frame:109 FPS:16.3392 iou:0.812349
Frame:110 FPS:16.0404 iou:0.837214
Frame:111 FPS:16.861 iou:0.855319
Frame:112 FPS:17.5061 iou:0.86424
Frame:113 FPS:16.6617 iou:0.867963
Frame:114 FPS:17.7953 iou:0.863737
Frame:115 FPS:17.6563 iou:0.851591
Frame:116 FPS:16.6287 iou:0.840002
Frame:117 FPS:17.3016 iou:0.828045
Frame:118 FPS:17.2295 iou:0.815789
Frame:119 FPS:16.822 iou:0.830071
Frame:120 FPS:18.3685 iou:0.819251
Frame:121 FPS:17.3555 iou:0.853496
Frame:122 FPS:18.1634 iou:0.873626
Frame:123 FPS:18.2126 iou:0.854354
Frame:124 FPS:17.2016 iou:0.841561
Frame:125 FPS:17.5706 iou:0.83822
Frame:126 FPS:17.8064 iou:0.804564
Frame:127 FPS:17.8743 iou:0.837513
Frame:128 FPS:17.7637 iou:0.870009
Frame:129 FPS:18.2839 iou:0.879283
Frame:130 FPS:18.2909 iou:0.872708
Frame:131 FPS:18.7032 iou:0.863122
Frame:132 FPS:18.1643 iou:0.842201
Frame:133 FPS:18.4693 iou:0.862345
Frame:134 FPS:18.7456 iou:0.876383
Frame:135 FPS:17.9551 iou:0.916966
Frame:136 FPS:18.2667 iou:0.868254
Frame:137 FPS:18.4442 iou:0.86476
Frame:138 FPS:18.0318 iou:0.837277
Frame:139 FPS:18.1905 iou:0.845151
Frame:140 FPS:18.1507 iou:0.851143
Frame:141 FPS:17.5264 iou:0.853976
Frame:142 FPS:18.3912 iou:0.838901
Frame:143 FPS:17.9044 iou:0.816583
Frame:144 FPS:17.7909 iou:0.796631
Frame:145 FPS:17.9686 iou:0.825941
Frame:146 FPS:18.4403 iou:0.821665
Frame:147 FPS:18.8979 iou:0.855448
Frame:148 FPS:19.1022 iou:0.839507
Frame:149 FPS:18.5457 iou:0.829521
Frame:150 FPS:18.2699 iou:0.832164
Frame:151 FPS:18.4995 iou:0.829831
Frame:152 FPS:18.6044 iou:0.793845
Frame:153 FPS:18.8482 iou:0.797923
Frame:154 FPS:18.901 iou:0.801779
Frame:155 FPS:18.5908 iou:0.816472
Frame:156 FPS:17.9428 iou:0.814765
Frame:157 FPS:18.2949 iou:0.799046
Frame:158 FPS:18.5005 iou:0.814097
Frame:159 FPS:18.3203 iou:0.796771
Frame:160 FPS:18.3354 iou:0.803686
Frame:161 FPS:18.5077 iou:0.802284
Frame:162 FPS:19.0637 iou:0.804235
Frame:163 FPS:18.7245 iou:0.818873
Frame:164 FPS:18.8555 iou:0.816988
Frame:165 FPS:18.96 iou:0.829376
Frame:166 FPS:18.7658 iou:0.799135
Frame:167 FPS:18.3712 iou:0.818457
Frame:168 FPS:18.5922 iou:0.796678
Frame:169 FPS:19.1045 iou:0.789459
Frame:170 FPS:19.3671 iou:0.802193
Frame:171 FPS:19.1857 iou:0.794192
Frame:172 FPS:19.0133 iou:0.802052
Frame:173 FPS:19.0831 iou:0.801966
Frame:174 FPS:19.0332 iou:0.813886
Frame:175 FPS:18.5585 iou:0.807232
Frame:176 FPS:18.7811 iou:0.799341
Frame:177 FPS:19.1075 iou:0.80186
Frame:178 FPS:19.4741 iou:0.783141
Frame:179 FPS:18.7843 iou:0.804078
Frame:180 FPS:19.2746 iou:0.80171
Frame:181 FPS:19.5493 iou:0.798025
Frame:182 FPS:19.4974 iou:0.819422
Frame:183 FPS:19.0284 iou:0.817324
Frame:184 FPS:19.0093 iou:0.807943
Frame:185 FPS:19.2514 iou:0.822715
Frame:186 FPS:18.765 iou:0.827175
Frame:187 FPS:19.3194 iou:0.816484
Frame:188 FPS:18.8856 iou:0.793448
Frame:189 FPS:19.7024 iou:0.772835
Frame:190 FPS:19.4784 iou:0.773723
Frame:191 FPS:19.4009 iou:0.772019
Frame:192 FPS:19.553 iou:0.777512
Frame:193 FPS:19.4579 iou:0.768336
Frame:194 FPS:19.1574 iou:0.768431
Frame:195 FPS:19.032 iou:0.759798
Frame:196 FPS:19.5272 iou:0.761148
Frame:197 FPS:19.4778 iou:0.764789
Frame:198 FPS:19.0276 iou:0.766065
Frame:199 FPS:19.8619 iou:0.740919
Frame:200 FPS:19.8064 iou:0.746975
Frame:201 FPS:20.1187 iou:0.708862
Frame:202 FPS:20.4083 iou:0.721247
Frame:203 FPS:19.7147 iou:0.708125
Frame:204 FPS:19.5572 iou:0.692751
Frame:205 FPS:20.267 iou:0.720738
Frame:206 FPS:19.7692 iou:0.692751
Frame:207 FPS:20.0074 iou:0.692751
Frame:208 FPS:20.735 iou:0.701922
Frame:209 FPS:18.2985 iou:0.721938
Frame:210 FPS:19.577 iou:0.705632
Frame:211 FPS:19.8568 iou:0.68267
Frame:212 FPS:19.6877 iou:0.704255
Frame:213 FPS:20.3031 iou:0.679289
Frame:214 FPS:20.6495 iou:0.713986
Frame:215 FPS:19.5855 iou:0.689606
Frame:216 FPS:20.272 iou:0.689606
Frame:217 FPS:21.0322 iou:0.654556
Frame:218 FPS:19.6248 iou:0.638192
Frame:219 FPS:21.0483 iou:0.630691
Frame:220 FPS:21.0904 iou:0.635903
Frame:221 FPS:18.7436 iou:0.638917
Frame:222 FPS:20.3885 iou:0.644241
Frame:223 FPS:21.1251 iou:0.652749
Frame:224 FPS:19.4679 iou:0.652749
Frame:225 FPS:20.9545 iou:0.635746
Frame:226 FPS:21.1511 iou:0.672834
Frame:227 FPS:19.3874 iou:0.678007
Frame:228 FPS:20.1503 iou:0.666408
Frame:229 FPS:20.6909 iou:0.664411
Frame:230 FPS:20.245 iou:0.636131
Frame:231 FPS:21.0556 iou:0.656895
Frame:232 FPS:21.5743 iou:0.662558
Frame:233 FPS:20.4595 iou:0.674182
Frame:234 FPS:21.3295 iou:0.680148
Frame:235 FPS:20.9036 iou:0.683498
Frame:236 FPS:20.6411 iou:0.686882
Frame:237 FPS:21.1244 iou:0.718188
Frame:238 FPS:21.8412 iou:0.690299
Frame:239 FPS:20.5752 iou:0.690299
Frame:240 FPS:22.3102 iou:0.690299
Frame:241 FPS:20.8088 iou:0.706149
Frame:242 FPS:20.1523 iou:0.67683
Frame:243 FPS:21.8336 iou:0.670291
Frame:244 FPS:20.5407 iou:0.680148
Frame:245 FPS:18.1817 iou:0.693751
Frame:246 FPS:21.1706 iou:0.73277
Frame:247 FPS:21.1646 iou:0.704315
Frame:248 FPS:21.2576 iou:0.704315
Frame:249 FPS:21.4801 iou:0.704315
Frame:250 FPS:21.3678 iou:0.704315
Frame:251 FPS:20.8457 iou:0.702404
Frame:252 FPS:21.1028 iou:0.699177
Frame:253 FPS:20.1416 iou:0.704315
Frame:254 FPS:20.3451 iou:0.710604
Frame:255 FPS:20.4988 iou:0.710604
Frame:256 FPS:20.6699 iou:0.710604
Frame:257 FPS:20.0494 iou:0.68301
Frame:258 FPS:20.6305 iou:0.68301
Frame:259 FPS:21.4734 iou:0.717006
Frame:260 FPS:20.6196 iou:0.717006
Frame:261 FPS:22.1099 iou:0.723524
Frame:262 FPS:20.9479 iou:0.734713
Frame:263 FPS:20.8428 iou:0.740202
Frame:264 FPS:22.065 iou:0.724865
Frame:265 FPS:21.6584 iou:0.724865
Frame:266 FPS:20.528 iou:0.738453
Frame:267 FPS:20.8306 iou:0.731225
Frame:268 FPS:21.3159 iou:0.73222
Frame:269 FPS:20.6301 iou:0.730615
Frame:270 FPS:21.435 iou:0.718319
Frame:271 FPS:21.3381 iou:0.734639
Frame:272 FPS:20.0432 iou:0.744562
Frame:273 FPS:20.9685 iou:0.744562
Frame:274 FPS:21.2911 iou:0.71565
Frame:275 FPS:20.3306 iou:0.744562
Frame:276 FPS:20.5543 iou:0.744562
Frame:277 FPS:21.9305 iou:0.744074
Frame:278 FPS:20.1461 iou:0.743927
Frame:279 FPS:21.0898 iou:0.739716
Frame:280 FPS:21.5842 iou:0.74525
Frame:281 FPS:20.0489 iou:0.746498
Frame:282 FPS:20.3102 iou:0.756161
Frame:283 FPS:21.4802 iou:0.752512
Frame:284 FPS:19.9217 iou:0.746426
Frame:285 FPS:20.7602 iou:0.727091
Frame:286 FPS:20.6799 iou:0.732463
Frame:287 FPS:19.3119 iou:0.729895
Frame:288 FPS:21.0213 iou:0.71849
Frame:289 FPS:21.2082 iou:0.740832
Frame:290 FPS:20.0149 iou:0.760155
Frame:291 FPS:20.4607 iou:0.784571
Frame:292 FPS:22.4562 iou:0.784571
Frame:293 FPS:19.9829 iou:0.784571
Frame:294 FPS:20.1284 iou:0.783817
Frame:295 FPS:21.4268 iou:0.786706
Frame:296 FPS:20.2563 iou:0.785363
Frame:297 FPS:20.3817 iou:0.778476
Frame:298 FPS:21.7606 iou:0.779612
Frame:299 FPS:19.9467 iou:0.781631
Frame:300 FPS:20.9499 iou:0.779111
Frame:301 FPS:22.1449 iou:0.774905
Frame:302 FPS:18.8486 iou:0.775976
Frame:303 FPS:20.211 iou:0.775088
Frame:304 FPS:21.6183 iou:0.776804
Frame:305 FPS:19.9223 iou:0.783028
Frame:306 FPS:20.357 iou:0.783608
Frame:307 FPS:21.233 iou:0.787109
Frame:308 FPS:20.4893 iou:0.784534
Frame:309 FPS:21.2606 iou:0.785884
Frame:310 FPS:21.128 iou:0.785811
Frame:311 FPS:20.0609 iou:0.78754
Frame:312 FPS:19.9961 iou:0.791338
Frame:313 FPS:21.1568 iou:0.767511
Frame:314 FPS:19.8734 iou:0.739283
Frame:315 FPS:20.9917 iou:0.720078
Frame:316 FPS:21.4468 iou:0.729103
Frame:317 FPS:20.0544 iou:0.740218
Frame:318 FPS:20.4423 iou:0.751911
Frame:319 FPS:21.0824 iou:0.756871
Frame:320 FPS:19.3709 iou:0.761541
Frame:321 FPS:20.7098 iou:0.755904
Frame:322 FPS:21.9995 iou:0.756126
Frame:323 FPS:19.1639 iou:0.756242
Frame:324 FPS:21.2754 iou:0.758475
Frame:325 FPS:21.9714 iou:0.765991
Frame:326 FPS:20.4594 iou:0.771243
Frame:327 FPS:21.9245 iou:0.782628
Frame:328 FPS:21.595 iou:0.782025
Frame:329 FPS:20.5279 iou:0.784575
Frame:330 FPS:21.74 iou:0.787949
Frame:331 FPS:21.5399 iou:0.766744
Frame:332 FPS:20.4318 iou:0.754019
Frame:333 FPS:22.3029 iou:0.735811
Frame:334 FPS:21.9022 iou:0.74397
Frame:335 FPS:20.2571 iou:0.745344
Frame:336 FPS:21.9304 iou:0.748587
Frame:337 FPS:21.7856 iou:0.752559
Frame:338 FPS:21.0696 iou:0.757494
Frame:339 FPS:21.8825 iou:0.760323
Frame:340 FPS:21.5936 iou:0.751251
Frame:341 FPS:21.0433 iou:0.740835
Frame:342 FPS:21.9122 iou:0.733413
Frame:343 FPS:22.2145 iou:0.727869
Frame:344 FPS:20.8073 iou:0.727966
Frame:345 FPS:22.2589 iou:0.718417
Frame:346 FPS:22.7633 iou:0.731006
Frame:347 FPS:21.3871 iou:0.738781
Frame:348 FPS:21.8103 iou:0.751797
Frame:349 FPS:21.9962 iou:0.75073
Frame:350 FPS:22.2685 iou:0.75364
Frame:351 FPS:22.4795 iou:0.749461
Frame:352 FPS:22.2867 iou:0.734695
Frame:353 FPS:22.5095 iou:0.709914
Frame:354 FPS:22.2233 iou:0.697224
Frame:355 FPS:22.101 iou:0.699504
Frame:356 FPS:21.5271 iou:0.703002
Frame:357 FPS:21.7707 iou:0.714281
Frame:358 FPS:20.9735 iou:0.720106
Frame:359 FPS:20.3418 iou:0.713782
Frame:360 FPS:22.3999 iou:0.724495
Frame:361 FPS:21.9772 iou:0.730807
Frame:362 FPS:20.0912 iou:0.735459
Frame:363 FPS:20.6177 iou:0.73021
Frame:364 FPS:21.4126 iou:0.727296
Frame:365 FPS:19.8497 iou:0.730492
Frame:366 FPS:20.316 iou:0.744977
Frame:367 FPS:21.7854 iou:0.740395
Frame:368 FPS:19.8532 iou:0.734313
Frame:369 FPS:20.7287 iou:0.733525
Frame:370 FPS:21.5102 iou:0.735619
Frame:371 FPS:20.387 iou:0.738946
Frame:372 FPS:20.5519 iou:0.744312
Frame:373 FPS:21.1002 iou:0.722227
Frame:374 FPS:20.3348 iou:0.723434
Frame:375 FPS:20.7467 iou:0.703971
Frame:376 FPS:20.6813 iou:0.704266
Frame:377 FPS:19.0914 iou:0.703342
Frame:378 FPS:19.8611 iou:0.70704
Frame:379 FPS:21.7518 iou:0.73488
Frame:380 FPS:20.418 iou:0.746766
Frame:381 FPS:21.764 iou:0.769699
Frame:382 FPS:20.9157 iou:0.766193
Frame:383 FPS:20.6772 iou:0.763057
Frame:384 FPS:21.8691 iou:0.774494
Frame:385 FPS:21.4645 iou:0.754348
Frame:386 FPS:21.1689 iou:0.739291
Frame:387 FPS:21.9155 iou:0.722934
Frame:388 FPS:21.826 iou:0.729036
Frame:389 FPS:20.9563 iou:0.723356
Frame:390 FPS:21.2752 iou:0.718326
Frame:391 FPS:21.8802 iou:0.726406
Frame:392 FPS:20.5762 iou:0.729667
Frame:393 FPS:21.5758 iou:0.734019
Frame:394 FPS:21.7723 iou:0.740917
Frame:395 FPS:22.364 iou:0.735778
Frame:396 FPS:21.2862 iou:0.730173
Frame:397 FPS:22.0655 iou:0.740543
Frame:398 FPS:21.9006 iou:0.738427
Frame:399 FPS:21.0145 iou:0.736907
Frame:400 FPS:21.1735 iou:0.73851
Frame:401 FPS:20.9886 iou:0.739664
Frame:402 FPS:21.8954 iou:0.739018
Frame:403 FPS:22.0309 iou:0.730199
