Frame:1 FPS:32.7853 iou:0.941135
Frame:2 FPS:22.454 iou:0.932864
Frame:3 FPS:23.2412 iou:0.898644
Frame:4 FPS:33.2042 iou:0.861366
Frame:5 FPS:34.143 iou:0.914645
Frame:6 FPS:32.8071 iou:0.905288
Frame:7 FPS:21.2922 iou:0.869959
Frame:8 FPS:20.9065 iou:0.869959
Frame:9 FPS:33.4759 iou:0.765468
Frame:10 FPS:33.7928 iou:0.701842
Frame:11 FPS:33.6514 iou:0.693879
Frame:12 FPS:32.7421 iou:0.610555
Frame:13 FPS:20.8083 iou:0.600926
Frame:14 FPS:20.2473 iou:0.547752
Frame:15 FPS:22.372 iou:0.485891
Frame:16 FPS:22.4739 iou:0.485891
Frame:17 FPS:31.9235 iou:0.505618
Frame:18 FPS:31.7986 iou:0.476318
Frame:19 FPS:26.6286 iou:0.505618
Frame:20 FPS:28.1 iou:0.505618
Frame:21 FPS:29.6301 iou:0.493482
Frame:22 FPS:31.2481 iou:0.479164
Frame:23 FPS:32.5211 iou:0.442664
Frame:24 FPS:32.3546 iou:0.43734
Frame:25 FPS:19.4755 iou:0.426916
Frame:26 FPS:20.8028 iou:0.396031
Frame:27 FPS:25.9828 iou:0.380233
Frame:28 FPS:30.7768 iou:0.525779
Frame:29 FPS:29.2972 iou:0.494459
Frame:30 FPS:29.478 iou:0.428027
Frame:31 FPS:27.7287 iou:0.448058
Frame:32 FPS:26.0622 iou:0.457917
Frame:33 FPS:28.8277 iou:0.472856
Frame:34 FPS:30.7942 iou:0.491949
Frame:35 FPS:30.8647 iou:0.533829
Frame:36 FPS:28.7524 iou:0.538808
Frame:37 FPS:26.9561 iou:0.544741
Frame:38 FPS:25.6503 iou:0.528137
Frame:39 FPS:27.975 iou:0.554558
Frame:40 FPS:31.4253 iou:0.565777
Frame:41 FPS:29.7276 iou:0.585295
Frame:42 FPS:29.6105 iou:0.59359
Frame:43 FPS:26.1682 iou:0.568729
Frame:44 FPS:27.443 iou:0.610601
Frame:45 FPS:29.3813 iou:0.596253
Frame:46 FPS:30.916 iou:0.609329
Frame:47 FPS:30.7568 iou:0.5757
Frame:48 FPS:31.4363 iou:0.612245
Frame:49 FPS:19.2733 iou:0.59975
Frame:50 FPS:19.1386 iou:0.612245
Frame:51 FPS:31.3715 iou:0.612245
Frame:52 FPS:31.9282 iou:0.614795
Frame:53 FPS:30.4808 iou:0.542322
Frame:54 FPS:30.5406 iou:0.513734
Frame:55 FPS:19.57 iou:0.517788
Frame:56 FPS:24.5118 iou:0.515819
Frame:57 FPS:31.0152 iou:0.523518
Frame:58 FPS:30.3656 iou:0.529296
Frame:59 FPS:30.103 iou:0.485207
Frame:60 FPS:31.0088 iou:0.494833
Frame:61 FPS:19.0337 iou:0.503599
Frame:62 FPS:19.0501 iou:0.493766
Frame:63 FPS:30.3726 iou:0.503175
Frame:64 FPS:30.7784 iou:0.501162
Frame:65 FPS:30.6761 iou:0.543231
Frame:66 FPS:29.9479 iou:0.556463
Frame:67 FPS:19.1163 iou:0.495797
Frame:68 FPS:19.0251 iou:0.584979
Frame:69 FPS:30.9947 iou:0.484773
Frame:70 FPS:31.1306 iou:0.544984
Frame:71 FPS:31.7223 iou:0.573896
Frame:72 FPS:30.2252 iou:0.545245
Frame:73 FPS:19.1563 iou:0.609005
Frame:74 FPS:19.0051 iou:0.604816
Frame:75 FPS:30.714 iou:0.660675
Frame:76 FPS:30.6363 iou:0.700389
Frame:77 FPS:31.2839 iou:0.678871
Frame:78 FPS:30.7741 iou:0.59311
Frame:79 FPS:19.1855 iou:0.661263
Frame:80 FPS:18.9529 iou:0.661733
Frame:81 FPS:29.6281 iou:0.70147
Frame:82 FPS:31.5449 iou:0.748987
Frame:83 FPS:29.7174 iou:0.683545
